country,latitude,longitude,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Argentina,-38.416097,-63.616672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Armenia,40.069099,45.038189,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2
Australia,-25.274398,133.775136,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,5,8,8,8
Austria,47.516231,14.550072,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,3
Brazil,-14.235004,-51.92528,0,0,0,0,0,0,0,0,1,2,2,3,3,4,4,4,6,6,7,7,8
Bulgaria,42.733883,25.48583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Canada,56.130366,-106.346771,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,5,7,8,11,11,11
Croatia,45.1,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Cyprus,35.126413,33.429859,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2
Czech Republic,49.817492,15.472962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Denmark,56.26392,9.501785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Estonia,58.595272,25.013607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Finland,61.92411,25.748151,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,4,4,4,4,4,4
France,46.227638,2.213749,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,10,10,10,13,13
Germany,51.165691,10.451526,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,5,5,5,6,6,6
Ghana,7.946527,-1.023194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Greece,39.074208,21.824312,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2
Hungary,47.162494,19.503304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2
India,20.593684,78.96288,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,4,5,6,9,10,11
Ireland,53.41291,-8.24389,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3
Israel,31.046051,34.851612,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3
Italy,41.87194,12.56738,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,3,3
Japan,36.204824,138.252924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Kazakhstan,48.019573,66.923684,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Luxembourg,49.815273,6.129583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Mexico,23.634501,-102.552784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Netherlands,52.132633,5.291266,0,0,0,0,0,0,0,0,0,0,2,2,2,3,5,5,5,5,5,5,5
New Zealand,-40.900557,174.885971,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,3,3,3
Nigeria,9.081999,8.675277,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Philippines,12.879721,121.774017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Poland,51.919438,19.145136,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,3,3,3
Portugal,39.399872,-8.224454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
Russia,61.52401,105.318756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,5,5,5
Singapore,1.352083,103.819836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Slovenia,46.151241,14.995463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
South Africa,-30.559482,22.937506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3
Spain,40.463667,-3.74922,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,4,5,5,6,6,6
Sri Lanka,7.873054,80.771797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Sweden,60.128161,18.643501,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,4,4,5,5,5
Switzerland,46.818188,8.227512,0,0,0,0,0,0,0,0,0,2,4,4,4,5,5,5,5,5,5,5,5
Thailand,15.870032,100.992541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Tunisia,33.886917,9.537499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Turkey,38.963745,35.243322,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2
Ukraine,48.379433,31.16558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
United Kingdom,55.378051,-3.435973,0,0,0,0,0,0,0,0,0,1,4,6,8,9,12,16,20,25,28,28,30
United States,37.09024,-95.712891,0,1,1,1,1,1,1,4,7,10,20,27,31,46,66,80,90,106,130,149,152
United States Minor Outlying Islands,19.282319,166.647047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Uruguay,-32.522779,-55.765835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Vietnam,14.058324,108.277199,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2
